ST	ICL1	MDR1	SAPT2	SAPT4	XYR1	ZWF1a	clonal_complex
1	1	1	1	1	1	1	
2	1	2	2	2	1	2	
3	1	3	1	3	2	3	
4	2	4	3	3	3	3	
5	1	5	4	4	4	1	
6	1	6	3	5	5	3	
7	3	7	3	6	6	4	
8	2	8	5	7	5	5	
9	4	9	3	8	4	6	
10	3	10	1	7	5	4	
11	3	11	1	7	5	4	
12	1	1	1	1	5	1	
13	1	12	4	4	4	1	
14	3	7	1	6	6	7	
15	1	7	1	9	5	1	
16	2	12	6	10	7	5	
17	5	7	1	11	4	7	
18	1	12	4	12	4	1	
19	3	13	4	7	1	1	
20	1	14	4	4	4	1	
21	3	9	7	8	4	6	
22	1	15	1	13	8	1	
23	1	16	3	7	9	3	
24	3	7	4	10	1	1	
25	6	7	3	6	2	4	
26	1	17	2	14	1	7	
27	3	7	1	6	6	4	
28	2	18	5	10	10	5	
29	1	19	3	7	3	1	
30	3	7	3	15	6	4	
31	1	20	4	4	4	1	
32	1	2	3	3	2	1	
33	3	7	3	13	4	3	
34	1	21	4	5	6	1	
35	1	7	8	6	2	4	
36	1	21	9	5	6	1	
37	3	7	3	6	11	4	
38	1	20	4	12	4	1	
39	1	22	3	10	9	3	
40	1	23	3	16	12	8	
41	1	7	4	12	13	1	
42	1	24	3	7	14	6	
43	7	25	3	7	5	1	
44	3	26	3	7	15	7	
45	1	3	3	17	16	3	
46	1	27	1	11	4	3	
47	3	4	3	3	17	3	
48	1	20	1	4	13	1	
49	8	28	3	18	17	7	
50	1	1	10	1	1	1	
51	1	29	3	19	13	1	
52	3	4	3	3	3	3	
53	5	16	3	20	9	1	
54	3	30	3	7	18	7	
55	1	31	3	21	3	1	
56	1	7	11	21	19	1	
57	9	3	3	10	19	9	
58	10	32	4	22	18	7	
59	1	7	4	4	20	1	
60	10	7	3	8	11	10	
61	1	33	12	23	21	3	
62	10	7	3	6	11	4	
63	3	9	13	24	4	3	
64	1	7	1	6	22	4	
65	1	20	4	4	4	11	
66	1	34	2	13	23	2	
67	1	3	4	11	24	1	
68	1	20	4	10	4	1	
69	2	20	4	10	25	5	
70	2	20	6	10	26	5	
71	1	7	1	7	27	9	
72	1	7	1	7	27	12	
73	11	35	14	25	28	13	
74	12	35	15	25	28	14	
75	13	36	16	26	29	15	
76	14	37	17	27	29	16	
77	1	24	3	7	30	4	
78	1	1	18	1	5	3	
79	2	20	5	10	26	5	
80	1	1	3	1	5	1	
81	1	7	18	21	1	1	
82	15	38	19	28	28	13	
83	1	39	3	7	31	17	
84	9	40	3	4	19	9	
85	9	26	3	11	24	4	
86	9	26	1	11	32	4	
87	9	26	1	11	33	10	
88	1	3	4	8	34	3	
89	3	7	4	29	35	7	
90	3	7	1	6	22	4	
91	1	41	12	23	36	9	
92	9	26	1	11	24	4	
93	3	26	3	7	24	7	
94	1	42	1	23	9	1	
95	1	43	3	7	24	6	
96	9	26	1	11	37	4	
97	1	3	3	17	9	7	
98	1	3	3	17	9	3	
99	1	44	3	7	38	3	
100	1	17	2	14	23	3	
101	10	13	1	7	23	1	
102	9	45	3	21	24	1	
103	2	18	5	10	26	5	
104	16	20	5	10	26	5	
105	1	46	12	30	16	1	
106	1	7	1	6	6	4	
107	17	47	20	31	39	18	
108	17	48	21	32	40	18	
109	3	3	1	8	41	1	
110	1	1	18	1	5	1	
111	1	1	18	1	42	1	
112	18	1	22	23	9	1	
113	10	49	3	7	34	3	
114	1	4	22	23	43	9	
115	1	34	22	8	23	2	
116	19	50	3	11	27	1	
117	10	49	3	7	34	1	
118	1	49	10	1	44	1	
119	1	1	18	1	19	1	
120	10	49	3	7	45	3	
121	10	49	3	7	46	3	
122	1	25	4	7	47	7	
123	1	4	1	7	34	1	
124	1	24	3	7	48	6	
125	9	26	1	11	49	4	
126	3	7	1	7	50	1	
127	1	32	3	7	4	4	
128	1	51	22	8	36	9	
129	1	20	4	33	4	1	
130	1	52	1	3	3	1	
131	1	34	22	13	51	2	
132	1	53	23	20	2	3	
133	1	19	12	14	23	7	
134	3	7	1	6	52	4	
135	9	54	4	7	53	9	
136	1	7	3	17	9	1	
137	1	3	24	17	54	3	
138	1	4	22	23	55	9	
139	1	4	22	23	36	9	
140	1	3	3	17	54	3	
141	1	55	12	17	56	9	
142	1	9	1	3	48	9	
143	1	54	3	6	48	7	
144	1	3	3	17	54	1	
145	3	7	1	6	2	4	
146	1	22	3	7	6	7	
147	1	7	3	17	57	3	
148	1	56	1	11	9	3	
149	1	44	3	7	58	3	
150	5	57	3	10	59	7	
151	5	1	1	34	4	19	
152	1	4	1	23	8	9	
153	3	7	1	6	60	4	
154	1	9	12	7	61	9	
155	3	7	3	6	22	4	
156	1	22	1	19	13	7	
157	1	4	1	4	62	1	
158	1	17	2	14	63	3	
159	3	24	4	7	24	20	
160	5	1	1	34	1	21	
161	1	44	12	17	15	22	
162	1	58	2	35	23	1	
163	1	17	1	17	1	22	
164	20	59	1	10	3	1	
165	21	60	3	3	64	7	
166	1	54	3	23	1	22	
167	1	54	3	23	9	22	
168	1	3	3	17	57	3	
169	1	9	1	3	48	7	
170	1	9	1	3	48	4	
171	1	4	3	23	36	9	
172	22	59	4	33	3	1	
173	21	19	3	3	64	7	
174	1	9	3	3	48	7	
175	3	7	1	6	54	4	
176	1	17	12	19	66	7	
177	1	9	3	3	2	7	
178	3	7	1	6	67	4	
179	1	3	3	17	54	7	
180	1	61	3	17	54	3	
181	1	3	3	17	54	23	
182	1	3	3	17	54	24	
183	1	20	12	17	68	3	
184	1	4	12	23	36	9	
185	1	62	2	23	5	1	
186	1	63	2	30	69	2	
187	1	63	2	30	69	25	
188	1	33	2	30	69	25	
189	9	45	3	36	24	1	
190	1	64	1	37	27	7	
191	9	54	2	10	70	9	
192	1	59	1	10	3	1	
193	1	17	25	3	71	1	
194	1	65	3	10	2	7	
195	1	9	1	10	6	7	
196	1	9	3	7	18	3	
197	1	4	1	38	72	1	
198	1	7	3	39	73	10	
199	23	20	1	40	74	7	
200	3	65	1	6	52	4	
201	3	7	4	6	75	10	
202	10	7	4	6	22	4	
203	3	7	4	6	52	4	
204	5	7	3	23	3	4	
205	1	46	12	30	57	1	
206	24	71	3	10	24	3	
207	24	71	3	10	61	3	
208	25	72	3	7	81	26	
209	9	73	3	7	27	27	
210	1	74	26	7	82	1	
211	1	3	12	10	2	9	
212	1	75	12	10	2	9	
213	10	32	3	3	83	3	
214	26	76	3	42	4	27	
215	26	76	3	42	50	27	
216	26	77	3	42	4	27	
217	5	78	3	42	3	27	
218	3	76	3	43	1	9	
219	3	79	1	42	50	9	
220	3	7	4	44	52	4	
221	3	7	4	6	52	7	
222	10	7	3	6	84	4	
223	10	7	3	6	52	4	
224	10	7	3	45	52	4	
225	9	7	12	46	48	22	
226	1	80	27	10	44	9	
227	5	54	1	47	48	22	
228	1	32	3	10	85	3	
229	1	81	3	17	57	3	
230	1	4	12	10	3	9	
231	27	9	1	43	23	7	
232	1	24	3	7	24	6	
233	1	24	3	7	24	7	
234	1	7	4	11	4	3	
235	1	7	4	11	51	3	
236	1	7	4	11	50	3	
237	1	7	1	6	52	4	
238	1	7	4	6	52	4	
239	1	24	3	7	53	6	
240	1	24	3	7	47	6	
241	1	7	4	11	19	3	
242	1	17	3	7	1	3	
243	1	7	1	6	84	4	
244	1	7	4	6	67	6	
245	3	7	4	6	84	4	
246	10	58	4	8	31	3	
247	10	58	4	8	3	3	
248	1	7	4	6	84	4	
249	1	29	4	1	51	1	
250	1	82	3	7	24	6	
251	1	7	4	11	76	3	
252	1	66	3	7	9	7	
253	1	83	1	11	2	3	
254	3	4	4	7	77	7	
255	3	1	4	11	19	1	
256	1	1	18	1	31	1	
257	1	9	3	23	36	9	
258	28	84	28	7	86	28	
259	30	85	30	7	88	29	
260	3	86	12	11	73	3	
261	1	87	3	7	89	6	
262	1	24	3	7	90	6	
263	1	7	4	11	76	7	
264	3	4	4	17	77	4	
265	3	58	4	13	76	1	
266	1	49	18	1	31	1	
267	29	48	29	48	87	30	
268	3	39	3	7	90	7	
269	1	3	3	17	16	7	
270	1	7	22	7	31	9	
271	1	7	22	17	85	31	
272	3	7	3	33	2	7	
273	1	7	4	17	91	7	
274	1	7	3	17	63	7	
275	1	1	18	1	50	1	
276	1	4	22	23	85	9	
277	1	4	22	23	85	1	
278	1	7	4	17	85	7	
279	1	9	4	3	2	7	
280	1	22	22	17	2	7	
281	1	88	22	3	85	1	
282	1	61	4	11	4	7	
283	1	9	3	17	2	22	
284	1	7	12	41	2	7	
285	1	22	4	19	50	7	
286	10	7	3	33	2	7	
287	1	44	12	7	31	22	
288	1	61	3	14	2	7	
289	31	17	4	43	4	32	
290	9	89	4	23	92	2	
291	1	1	18	36	50	1	
292	10	7	3	38	85	22	
293	1	44	12	49	31	2	
294	1	44	12	7	48	7	
295	10	7	3	33	85	22	
296	1	7	4	17	89	7	
297	1	3	3	7	16	3	
298	3	27	3	7	77	7	
299	1	16	4	11	9	1	
300	1	22	3	7	2	7	
301	1	7	4	17	50	7	
302	10	7	4	6	2	10	
303	1	49	4	3	2	7	
304	26	44	4	23	16	1	
305	1	9	22	24	85	9	
306	1	7	3	40	16	3	
307	26	2	4	23	62	2	
308	1	9	4	3	50	7	
309	1	4	22	23	85	2	
310	10	4	4	41	77	4	
311	1	1	4	1	50	1	
312	3	7	3	33	2	22	
313	1	7	4	17	53	7	
314	32	88	22	3	85	9	
315	1	9	4	19	50	7	
316	1	9	12	17	2	2	
317	1	1	4	9	50	1	
318	3	4	4	41	77	4	
319	10	7	3	33	2	22	
320	1	1	3	19	2	7	
321	1	4	12	23	43	9	
322	1	7	12	50	9	3	
323	1	90	3	50	24	3	
324	9	90	3	50	12	3	
325	1	4	12	23	3	9	
326	31	1	1	34	5	21	
327	1	4	12	23	36	1	
328	33	91	29	51	93	33	
329	9	90	3	50	24	3	
330	1	44	12	7	48	22	
331	1	22	12	17	60	22	
332	1	1	1	10	9	3	
333	1	44	12	7	94	22	
334	9	7	3	3	1	9	
335	9	7	3	3	9	1	
336	1	9	12	17	2	22	
337	1	44	1	7	38	3	
338	1	9	12	17	2	3	
339	1	54	3	3	95	3	
340	1	57	31	10	8	7	
341	3	4	1	41	77	7	
342	1	92	1	11	9	3	
343	5	16	3	7	48	21	
344	1	17	2	14	1	3	
345	17	93	29	3	93	30	
346	3	4	1	41	77	4	
347	1	4	1	7	48	1	
348	1	89	1	7	48	9	
349	1	90	3	7	96	3	
350	1	3	1	7	48	1	
351	1	9	1	3	97	7	
352	1	61	1	11	4	3	
353	1	9	12	7	98	3	
354	3	1	4	34	1	21	
355	1	9	1	3	34	7	
356	1	90	1	10	1	7	
357	1	3	3	17	99	3	
358	1	3	12	7	2	9	
359	1	17	2	14	100	3	
360	1	18	12	17	68	3	
361	1	20	12	17	68	1	
362	1	22	4	3	4	3	
363	1	34	2	8	23	2	
364	1	94	3	7	101	3	
365	1	94	3	7	102	3	
366	1	94	3	21	101	3	
367	1	94	32	7	101	3	
368	1	95	4	4	50	1	
369	1	96	33	7	103	34	
370	1	97	3	7	1	3	
371	3	7	12	52	1	1	
372	5	3	3	7	48	4	
373	5	57	3	10	31	7	
374	5	61	3	11	68	3	
375	9	7	12	52	3	22	
376	9	7	12	52	48	22	
377	34	7	1	6	52	4	
378	35	96	34	7	103	34	
379	1	44	12	7	94	35	
380	1	22	1	53	24	7	
381	5	61	3	11	68	36	
382	1	32	3	14	57	1	
383	1	3	3	17	9	1	
384	3	7	1	6	52	10	
385	1	7	12	3	104	3	
386	1	4	22	54	36	9	
387	1	60	22	19	102	7	
388	1	3	3	17	9	23	
389	1	98	3	17	54	3	
390	36	99	1	55	23	37	
391	36	100	4	56	23	37	
392	3	7	1	6	51	4	
393	37	100	1	56	23	37	
394	1	9	12	17	60	22	
395	36	101	1	56	23	37	
396	3	26	3	7	9	7	
397	37	100	4	14	23	37	
398	1	100	4	14	23	1	
399	1	102	3	11	48	22	
400	5	89	3	23	18	4	
401	1	9	22	23	36	9	
402	36	101	4	56	23	37	
403	15	91	29	7	105	38	
404	1	19	2	14	100	3	
405	1	32	12	10	95	9	
406	1	3	3	17	106	3	
407	36	4	4	56	23	37	
408	1	103	4	3	107	4	
409	32	104	12	3	17	2	
410	1	105	3	9	92	1	
411	1	7	12	7	18	22	
412	1	9	4	3	92	7	
413	17	93	35	57	108	30	
414	1	44	3	7	109	3	
415	1	9	4	3	48	7	
416	1	3	3	10	3	3	
417	1	9	22	23	43	9	
418	1	7	1	7	23	3	
419	1	7	1	7	38	3	
420	1	7	2	14	100	3	
421	1	7	3	7	58	3	
422	1	7	3	7	58	7	
423	1	7	12	17	24	7	
424	1	7	22	10	24	1	
425	1	9	3	17	85	7	
426	1	7	12	7	48	22	
427	1	9	3	14	60	22	
428	1	9	12	17	60	3	
429	1	9	12	17	26	22	
430	1	9	12	14	60	22	
431	1	123	2	17	4	1	
432	1	9	12	62	60	22	
433	1	9	12	17	85	22	
434	1	9	22	17	60	22	
435	1	16	1	3	9	1	
436	1	17	1	10	9	1	
437	1	22	1	19	4	7	
438	1	22	3	7	85	22	
439	1	22	3	7	72	7	
440	1	22	3	17	9	22	
441	1	22	12	17	60	7	
442	1	22	12	17	53	7	
443	1	22	12	17	60	31	
444	1	22	12	14	60	7	
445	1	26	3	3	48	3	
446	1	44	3	7	58	22	
447	1	44	3	14	60	7	
448	3	58	1	8	48	3	
449	1	44	12	21	94	22	
450	1	53	3	20	23	41	
451	1	56	1	59	9	3	
452	1	57	1	23	60	40	
453	1	58	36	7	68	39	
454	1	60	12	7	111	3	
455	1	61	1	11	4	1	
456	1	89	4	60	85	1	
457	1	89	4	38	94	3	
458	1	90	3	7	9	1	
459	1	90	3	7	2	1	
460	1	90	12	7	4	1	
461	1	92	1	7	9	1	
462	1	102	3	11	48	3	
463	1	108	3	3	9	3	
464	1	118	38	14	2	22	
465	1	109	12	17	56	9	
466	1	110	39	33	3	7	
467	1	110	39	33	4	7	
468	1	111	39	33	3	7	
469	1	112	3	7	68	3	
470	1	112	36	7	68	3	
471	1	113	12	19	116	1	
472	1	22	1	58	52	4	
473	1	116	3	38	2	9	
474	1	117	3	4	76	3	
475	1	117	3	7	9	32	
476	2	18	5	61	112	5	
477	1	9	1	10	54	3	
478	1	119	1	17	24	42	
479	2	20	5	61	110	5	
480	18	115	1	17	9	1	
481	2	20	12	61	60	22	
482	3	3	1	38	76	4	
483	3	3	3	33	76	4	
484	3	7	1	6	52	3	
485	3	7	3	7	23	1	
486	3	20	5	61	110	5	
487	3	22	1	10	27	1	
488	3	22	1	3	9	1	
489	3	22	1	3	27	1	
490	3	22	3	38	9	22	
491	3	42	37	7	113	3	
492	3	51	1	5	77	4	
493	3	61	1	38	77	4	
494	3	107	1	10	114	7	
495	3	114	1	3	27	1	
496	3	117	1	10	1	22	
497	9	90	3	10	115	3	
498	9	106	3	23	118	3	
499	1	7	22	52	92	7	
500	26	16	1	3	9	1	
501	38	44	3	7	58	3	
502	38	44	3	7	58	22	
503	10	4	1	41	117	4	
504	10	4	1	41	77	4	
505	26	7	12	52	119	22	
506	9	7	12	46	119	22	
507	9	7	12	52	119	22	
508	9	7	3	3	54	1	
509	9	3	1	7	120	3	
510	1	120	1	7	24	3	
511	1	16	3	4	24	3	
512	32	88	12	3	2	9	
513	1	121	3	11	24	9	
514	1	32	1	7	72	1	
515	1	50	3	50	50	1	
516	1	7	1	63	24	7	
517	1	20	12	7	68	3	
518	1	60	12	19	121	7	
519	3	32	1	41	77	4	
520	1	3	1	7	72	1	
521	9	16	3	3	9	1	
522	1	44	1	7	58	3	
523	1	22	2	14	53	3	
524	1	17	2	14	60	43	
525	1	7	1	17	24	7	
526	1	7	1	17	24	42	
527	1	92	3	38	107	1	
528	1	7	40	10	5	1	
529	9	90	3	7	94	1	
530	1	45	3	21	41	3	
531	1	49	1	64	77	1	
532	1	122	12	7	94	22	
533	35	96	33	7	103	34	
534	1	7	3	13	6	44	
535	1	7	3	3	92	1	
536	1	7	3	52	50	7	
537	1	7	22	52	50	7	
538	1	7	22	52	92	2	
539	1	7	22	52	13	7	
540	26	7	22	52	13	7	
541	26	7	22	52	50	2	
542	26	7	22	52	92	7	
543	26	7	22	52	50	7	
544	26	7	22	52	92	2	
545	1	13	22	52	92	2	
546	9	7	22	46	119	22	
547	5	7	3	23	48	4	
548	1	3	3	17	122	3	
549	1	124	2	14	60	3	
550	1	17	2	14	100	7	
551	9	54	4	38	70	9	
552	5	125	3	65	27	7	
553	5	126	3	65	27	7	
554	1	4	22	7	36	9	
555	1	122	3	7	58	7	
556	1	127	22	21	57	7	
557	1	7	3	3	48	22	
558	1	4	22	23	78	9	
559	9	54	4	10	70	9	
560	1	32	3	17	54	3	
561	3	60	41	19	123	3	
562	1	4	22	23	36	2	
563	1	7	1	6	52	10	
564	1	50	42	66	5	3	
565	1	2	42	67	5	7	
566	1	2	42	66	5	3	
567	1	2	9	67	5	1	
568	1	50	9	67	5	3	
569	1	2	42	66	31	3	
570	1	50	42	66	31	3	
571	1	56	1	68	9	3	
572	1	3	3	17	43	1	
573	1	7	12	50	57	3	
574	1	9	3	10	4	40	
575	1	22	7	13	9	44	
576	1	44	3	7	58	1	
577	1	44	3	7	124	3	
578	1	66	12	20	9	3	
579	1	90	1	7	15	1	
580	1	90	1	7	24	1	
581	1	90	1	7	27	1	
582	1	90	1	7	74	1	
583	1	90	1	69	9	7	
584	1	97	3	7	81	3	
585	1	117	1	7	43	1	
586	1	117	1	7	125	1	
587	1	117	1	7	126	1	
588	1	117	3	7	9	1	
589	3	7	1	6	84	4	
590	9	7	12	46	3	9	
591	9	7	12	46	3	22	
592	9	7	12	46	34	22	
593	9	7	12	46	41	22	
594	9	7	12	46	127	22	
595	9	7	22	46	48	22	
596	9	7	43	46	48	22	
597	9	34	1	13	128	9	
598	9	128	3	3	27	3	
599	9	129	12	46	3	22	
600	26	7	12	46	48	22	
601	1	22	1	13	9	44	
602	26	7	3	7	92	2	
603	1	9	22	14	92	7	
604	1	7	22	7	85	7	
605	26	7	22	52	85	2	
606	26	7	3	3	92	1	
607	1	49	3	33	85	1	
608	26	7	12	52	92	2	
609	26	7	3	3	92	42	
610	1	7	3	3	92	42	
611	19	27	4	36	80	10	
